Class,CSORD_CountLineCodeExe,CSORD_CountDeclMethodPublic,CSORD_MinLineCode,PK_SDLineCodeExe,CSORD_SumCSNOPNAMM,PK_MinLineCode,CSORD_AvgKnots,CSORD_MaxCSNOPNAMM,CSORD_SDCountPath,PK_CountDeclFile,PK_AvgCyclomaticModified,CSORD_MaxCountPath,CSORD_MinStmtDeclNAMM,CSORD_MinEssentialNAMM,CSORD_MinEssentialNAMM,CSORD_SDCSNOPNAMM,CSORD_CountDeclClassMethod,PK_MaxCyclomaticModified,CSORD_MinCSNOPNAMM,CSORD_MinCSNOP,CSORD_NOII,PK_CountDeclMethodPrivate,CSLEX_NumberOfSuperStatements,CSORD_CountDeclClassVariable,CSORD_MaxInheritanceTree,CSORD_CountClassBase,CSORD_NumberOfMethodCalls,CSORD_CountClassDerived,CSORD_NumberOfMethodCalls,CSORD_CountDeclMethodDefault,CSORD_CountDeclMethodProtected,CSORD_CountDeclMethodDefault,CSORD_CountClassDerived,CSORD_NIM,PK_AvgEssential,CSORD_CountClassBase,CSORD_NIM,PK_AvgEssential,CSORD_CountDeclMethodPrivate,CSORD_CountClassBase,CSORD_NumberOfDependsBy,CSORD_NIM,CSORD_NumberOfMethodCalls,CSORD_MinKnots,PK_AvgEssential,Testability
com.sap.managementconsole.soap.axis.sapcontrol.J2EEPSTATE,36,10,1,425.02920615759626,4,5,0.0,1,0.2874797872880345,46,1,2,1,1,1,0.4948716593053935,5,31,0,0,21,7,0,16,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,6,12,2,0,1,0.7813447293447294
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess,220,35,2,425.02920615759626,15,5,0.1428571428571428,14,170.57869331263183,46,1,1025,1,1,1,5.931905258852336,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,8,12,6,0,1,0.8384147892754731
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess2,231,37,2,425.02920615759626,16,5,0.1351351351351351,15,166.03730208293643,46,1,1025,1,1,1,6.363961030678928,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8449468502152128
com.sap.managementconsole.soap.axis.sapcontrol.J2EERemoteObject,161,27,2,425.02920615759626,11,5,0.1851851851851852,10,12.081115874296362,46,1,65,1,1,1,4.205650960315181,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8124599609375001
com.sap.managementconsole.soap.axis.sapcontrol.J2EESession,161,27,2,425.02920615759626,11,5,0.1851851851851852,10,12.081115874296362,46,1,65,1,1,1,4.205650960315181,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8174448758890984
com.sap.managementconsole.soap.axis.sapcontrol.J2EESharedTableInfo,89,17,2,425.02920615759626,6,5,0.2941176470588235,5,1.2887589588356851,46,1,5,1,1,1,2.0615528128088303,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8183247863247864
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread,221,33,2,425.02920615759626,14,5,0.1515151515151515,13,1404.2499522430676,46,1,8193,1,1,1,5.5,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8177301550038387
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread2,232,35,2,425.02920615759626,15,5,0.1428571428571428,14,1364.7565033621888,46,1,8193,1,1,1,5.931905258852336,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8269200174190738
com.sap.managementconsole.soap.axis.sapcontrol.J2EEWebSession,161,27,2,425.02920615759626,11,5,0.1851851851851852,10,12.081115874296362,46,1,65,1,1,1,4.205650960315181,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8235997850529099
com.sap.managementconsole.soap.axis.sapcontrol.LogFile,83,15,2,425.02920615759626,5,5,0.3333333333333333,4,2.1664102412362563,46,1,9,1,1,1,1.6393596310755,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7957142857142857
com.sap.managementconsole.soap.axis.sapcontrol.OSProcess,127,21,2,425.02920615759626,8,5,0.2380952380952381,7,13.613385436347151,46,1,65,1,1,1,2.9154759474226504,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,3,12,6,0,1,0.7650010326345295
com.sap.managementconsole.soap.axis.sapcontrol.ParameterRestriction,123,19,2,425.02920615759626,7,5,0.2631578947368421,6,28.54631266484348,46,1,129,1,1,1,2.48746859276655,3,31,0,0,21,7,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,3,12,7,0,1,0.7831745830891363
com.sap.managementconsole.soap.axis.sapcontrol.ProfileParameter,197,27,2,425.02920615759626,11,5,0.1851851851851852,10,1547.0514208536936,46,1,8193,1,1,1,4.205650960315181,3,31,0,0,21,7,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,2,12,7,0,1,0.7893030303030302
com.sap.managementconsole.soap.axis.sapcontrol.RESTRICTIONTYPE,36,10,1,425.02920615759626,4,5,0.0,1,0.2874797872880345,46,1,2,1,1,1,0.4948716593053935,5,31,0,0,21,7,0,16,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,2,12,2,0,1,0.7727272727272727
com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_ServiceLocator,47,15,2,425.02920615759626,3,5,0.5333333333333333,2,0.7180219742846006,46,1,3,1,1,1,0.8164965809277259,0,31,0,0,21,7,2,0,2,2,0,0,0,0,0,0,0,12,1,2,12,1,0,2,6,12,0,0,1,0.7617324840764332
com.sap.managementconsole.soap.axis.sapcontrol.SAPInstance,119,21,2,425.02920615759626,8,5,0.2380952380952381,7,3.470641363483542,46,1,17,1,1,1,2.9154759474226504,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,4,12,6,0,1,0.7732790522247711
com.sap.managementconsole.soap.axis.sapcontrol.STATECOLOR,30,10,1,425.02920615759626,4,5,0.0,1,0.2874797872880345,46,1,2,1,1,1,0.4948716593053935,5,31,0,0,21,7,0,10,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,15,12,2,0,1,0.7696363636363637
com.sap.managementconsole.soap.axis.sapcontrol.SetProfileParameter,79,13,2,425.02920615759626,1,5,0.3846153846153846,1,4.307692307692308,46,1,17,3,1,1,0.5,3,31,0,0,21,7,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,2,12,7,0,1,0.7735698924731184
com.sap.managementconsole.soap.axis.sapcontrol.StartStopOption,34,10,1,425.02920615759626,4,5,0.0,1,0.2874797872880345,46,1,2,1,1,1,0.4948716593053935,5,31,0,0,21,7,0,14,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,5,12,2,0,1,0.7796608187134504
com.sap.managementconsole.soap.axis.sapcontrol.SubProfileParameter,97,17,2,425.02920615759626,6,5,0.2941176470588235,5,3.823076896299277,46,1,17,1,1,1,1.939071942966532,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8092252252252252
com.sap.managementconsole.soap.axis.sapcontrol.SyslogEntry,146,23,2,425.02920615759626,9,5,0.217391304347826,8,52.175652144928506,46,1,257,1,1,1,3.344772040064913,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7837512267602292
com.sap.managementconsole.soap.axis.sapcontrol.TaskHandlerQueue,97,19,2,425.02920615759626,7,5,0.2631578947368421,6,0.9761703679469164,46,1,5,1,1,1,2.48746859276655,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7384223848543607
com.sap.managementconsole.soap.axis.sapcontrol.VISIBLELEVEL,30,10,1,425.02920615759626,4,5,0.0,1,0.2874797872880345,46,1,2,1,1,1,0.4948716593053935,5,31,0,0,21,7,0,10,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,2,12,2,0,1,0.7626226415094339
com.sap.managementconsole.soap.axis.sapcontrol.WorkProcess,244,37,2,425.02920615759626,16,5,0.1351351351351351,15,1328.4145726558452,46,1,8193,1,1,1,6.363961030678928,3,31,0,0,21,7,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.8486063711102277
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperation,62,11,2,207.9588898384144,3,5,0.4545454545454545,2,2.466301812045552,27,1,9,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7291935483870967
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationArguments,57,11,2,207.9588898384144,3,5,0.4545454545454545,2,1.5427784316797395,27,1,5,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7160108401084012
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationCode,32,10,1,207.9588898384144,4,5,0.0,1,0.2874797872880345,27,1,2,1,1,1,0.4948716593053935,5,13,0,0,21,2,0,12,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,2,12,2,0,1,0.7863247863247863
com.sap.managementconsole.soap.axis.saphostcontrol.CIMAttribute,72,13,2,207.9588898384144,4,5,0.3846153846153846,3,2.3025583918608867,27,1,9,1,1,1,1.224744871391589,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7623087248322146
com.sap.managementconsole.soap.axis.saphostcontrol.CIMObject,71,11,2,207.9588898384144,3,5,0.4545454545454545,2,4.6283352950392205,27,1,17,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,7,0,7,0,0,0,0,12,1,2,12,1,0,2,2,12,7,0,1,0.7518145161290323
com.sap.managementconsole.soap.axis.saphostcontrol.CancelOperationType,28,10,1,207.9588898384144,4,5,0.0,1,0.2874797872880345,27,1,2,1,1,1,0.4948716593053935,5,13,0,0,21,2,0,8,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,2,12,2,0,1,0.7664691358024692
com.sap.managementconsole.soap.axis.saphostcontrol.Database,83,13,2,207.9588898384144,4,5,0.3846153846153846,3,8.504784591437078,27,1,33,1,1,1,1.224744871391589,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7711111111111112
com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseComponent,62,11,2,207.9588898384144,3,5,0.4545454545454545,2,2.466301812045552,27,1,9,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,4,12,6,0,1,0.7246280991735536
com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseStatus,40,10,1,207.9588898384144,4,5,0.0,1,0.2874797872880345,27,1,2,1,1,1,0.4948716593053935,5,13,0,0,21,2,0,20,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,4,12,2,0,1,0.7448979591836734
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceOptionsFlags,36,10,1,207.9588898384144,4,5,0.0,1,0.2874797872880345,27,1,2,1,1,1,0.4948716593053935,5,13,0,0,21,2,0,16,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,2,12,2,0,1,0.7641509433962264
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceSelector,56,11,2,207.9588898384144,3,5,0.4545454545454545,2,1.5427784316797395,27,1,5,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,6,0,6,0,0,0,0,12,1,2,12,1,0,2,2,12,6,0,1,0.7169586776859505
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceServiceOperation,55,11,2,207.9588898384144,3,5,0.4545454545454545,2,1.5427784316797395,27,1,5,1,1,1,0.82915619758885,3,13,0,0,21,2,0,1,1,2,5,0,5,0,0,0,0,12,1,2,12,1,0,2,2,12,5,0,1,0.7180336134453781
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceStatus,30,10,1,207.9588898384144,4,5,0.0,1,0.2874797872880345,27,1,2,1,1,1,0.4948716593053935,5,13,0,0,21,2,0,10,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,2,12,2,0,1,0.7772035398230088
com.sap.managementconsole.soap.axis.saphostcontrol.OperationCode,30,10,1,207.9588898384144,4,5,0.0,1,0.2874797872880345,27,1,2,1,1,1,0.4948716593053935,5,13,0,0,21,2,0,10,1,2,2,0,2,0,1,0,0,12,1,2,12,1,0,2,2,12,2,0,1,0.7626226415094339
